,global_len,global_return
0,16,16.129592210157337
1,9,6.790997978089304
2,14,9.434229300041352
3,24,28.178450838831537
4,30,18.9969900361336
5,18,12.18113138188583
6,36,26.580053543788235
7,20,9.404233151299822
8,12,8.267356554117699
9,12,8.365790503568935
10,14,12.680682593526992
11,24,13.205295131441183
12,15,11.508490724616806
13,12,9.843907773561634
14,24,18.232726710558005
15,17,15.900988386838218
16,10,8.727954958874705
17,50,72.91785294837217
18,28,15.449790754854114
19,17,10.831088753961778
20,16,11.165121812901571
21,48,59.08479671505164
22,17,16.122273490649054
23,24,18.012812324955295
24,11,9.992661982944975
25,11,8.185392300646718
26,43,39.825185573804795
27,32,24.583789537946792
28,11,9.292358919264164
29,20,21.155496612801166
30,15,12.045787048446158
31,35,39.06468934181736
32,15,14.916353829688088
33,21,12.713772611824282
34,31,21.141880907697608
35,19,18.129363365471868
36,19,18.87328089217665
37,9,6.926671906291749
38,15,11.644464977035305
39,15,13.44893481007668
40,18,12.139190666758376
41,48,51.52036827719128
42,45,41.28218733762974
43,17,11.310483008494668
44,12,6.647762645434701
45,24,10.503467875407416
46,19,15.144431893044413
47,40,31.110772209670742
48,24,22.98767325443523
49,13,4.921718354222806
50,18,8.794549859498174
51,31,24.866398648858652
52,16,10.363429233999025
53,18,10.983754715796623
54,10,6.056459276593306
55,12,9.123647745769231
56,15,8.736650661507046
57,15,12.664441558623425
58,14,13.387549830119804
59,15,9.773676217824205
60,16,15.031221395335503
61,118,231.74896284822884
62,13,11.318749641119307
63,10,7.620050689971204
64,19,10.818976314078181
65,14,7.376590352626407
66,13,10.172273201831867
67,18,15.934061564461775
68,12,5.177635515478363
69,18,13.65972964362952
70,15,13.177631401988402
71,27,29.137361857775396
72,34,16.422147062026273
73,28,26.94994033753938
74,13,9.402505692198362
75,14,8.602141207361171
76,19,12.137744911493293
77,18,14.189950380414782
78,20,19.62484592327429
79,9,6.730926185670019
80,16,5.703305639764736
81,40,21.494106569447816
82,25,19.21740029200451
83,21,10.98559540324204
84,21,11.017159144549403
85,16,11.359325563971623
86,19,11.740515562678308
87,24,22.144818585393256
88,24,13.191576468600164
89,23,7.655408119821955
90,10,7.702324795469989
91,24,13.9889486541156
92,27,18.069351195629896
93,21,10.89783634822
94,11,8.333273715628918
95,18,20.144292448789137
96,13,9.561166801746419
97,11,8.208514296068179
98,21,12.177706999048329
99,17,13.265167693009
100,10,6.837023765855735
101,34,20.62820161206131
102,18,12.869673508382485
103,21,22.168171930401336
104,15,8.56749601650776
105,28,23.890659456255932
106,39,12.048539232955767
107,11,8.740199987629428
108,16,9.88550318759922
109,44,27.82779103302107
110,15,12.561389613439284
111,26,7.713901722966414
112,29,19.875283381166323
113,14,11.054547659804724
114,16,13.119503369781004
115,41,57.50644210488947
116,37,28.2254964989506
117,23,13.075131241792416
118,37,15.39218071159978
119,9,6.962726535382362
120,12,10.600204827654517
121,27,14.428002178360538
122,23,26.818808258611522
123,28,21.376550148596813
124,49,73.68961840294573
125,22,15.539857487015665
126,10,5.861625227577857
127,11,8.26130303576196
128,13,9.960515674463336
129,29,33.78412838956903
130,12,7.533966551557385
131,13,9.336344077243789
132,12,7.352861539113859
133,19,20.000441825755914
134,15,12.753644388187737
135,18,13.297054124574682
136,38,19.831006893202588
137,14,8.639680548366597
138,17,12.21140248334741
139,21,6.00855670320327
140,16,9.786086584861195
141,23,18.439755029671403
142,13,11.694510696182398
143,24,21.14063148276388
144,18,17.18457872162239
145,13,8.978494858397825
146,14,12.159830466777557
147,9,7.142771841564003
148,15,10.692882064207888
149,10,7.202633964806739
150,31,11.719597777962923
151,97,188.45356290314243
152,17,6.311012066705294
153,18,13.235863813345002
154,39,51.451548261115846
155,26,18.404866030704625
156,36,13.190953955081442
